title,rank,top_250_rank,year,kind,imdb_id,rating,genre,director
The Wizard of Oz,1,121,1939,movie,32138,8.3,"Adventure, Family, Fantasy, Musical",Victor Fleming
Star Wars,2,14,1977,movie,76759,8.8,"Action, Adventure, Fantasy, Sci-Fi",George Lucas
Cabiria,3,,1914,movie,3740,6.6,"Adventure, Drama, War",Giovanni Pastrone
Psycho,4,24,1960,movie,54215,8.7,"Horror, Mystery, Thriller",Alfred Hitchcock
King Kong,5,244,1933,movie,24216,8,"Adventure, Fantasy, Horror",Merian C. Cooper
Metropolis,6,95,1927,movie,17136,8.4,"Adventure, Drama, Sci-Fi",Fritz Lang
Star Trek,7,,1966,tv series,60028,8.6,"Adventure, Sci-Fi",Marc Daniels
Casablanca,8,16,1942,movie,34583,8.8,"Drama, Romance, War",Michael Curtiz
Snow White and the Seven Dwarfs,9,,1937,movie,29583,7.9,"Animation, Family, Fantasy, Musical, Romance",William Cottrell
2001: A Space Odyssey,10,86,1968,movie,62622,8.4,"Adventure, Mystery, Sci-Fi",Stanley Kubrick
The Godfather,11,2,1972,movie,68646,9.2,"Crime, Drama",Francis Ford Coppola
The Birth of a Nation,12,,1915,movie,4972,7.1,"Drama, History, Romance, War, Western",D.W. Griffith
Shadow of a Doubt,13,,1943,movie,36342,8.1,"Crime, Film-Noir, Mystery, Thriller",Alfred Hitchcock
Jaws,14,112,1975,movie,73195,8.3,Thriller,Steven Spielberg
Snow White,15,,1916,movie,7361,6.4,"Fantasy, Romance",J. Searle Dawley
Apocalypse Now,16,37,1979,movie,78788,8.6,"Drama, War",Francis Ford Coppola
Gone with the Wind,17,151,1939,movie,31381,8.2,"Drama, Romance, War",Victor Fleming
The Merry Widow,18,,1934,movie,25493,7.6,"Musical, Comedy, Romance",Ernst Lubitsch
The Searchers,19,,1956,movie,49730,8.1,"Adventure, Drama, Western",John Ford
Vertigo,20,43,1958,movie,52357,8.6,"Crime, Mystery, Romance, Thriller",Alfred Hitchcock
Dr. No,21,,1962,movie,55928,7.3,"Action, Adventure, Thriller",Terence Young
Touch of Evil,22,122,1958,movie,52311,8.3,"Crime, Film-Noir, Thriller",Orson Welles
Chang: A Drama of the Wilderness,23,,1927,movie,17743,7.4,"Adventure, Documentary",Merian C. Cooper
The Exorcist,24,201,1973,movie,70047,8.1,Horror,William Friedkin
Citizen Kane,25,36,1941,movie,33467,8.6,"Drama, Mystery",Orson Welles
The Terminator,26,167,1984,movie,88247,8.1,"Action, Sci-Fi, Thriller",James Cameron
Rosemary's Baby,27,225,1968,movie,63522,8.1,"Drama, Horror, Mystery",Roman Polanski
Bronenosets Potyomkin,28,,1925,movie,15648,8.1,"Drama, History, War",Sergei M. Eisenstein
Star Wars: Episode V - The Empire Strikes Back,29,11,1980,movie,80684,8.8,"Action, Adventure, Sci-Fi",Irvin Kershner
The Lost World,30,,1925,movie,16039,7.1,"Adventure, Fantasy, Horror, Sci-Fi, Thriller",Harry O. Hoyt
A Clockwork Orange,31,52,1971,movie,66921,8.5,"Crime, Drama, Sci-Fi",Stanley Kubrick
Frankenstein,32,,1931,movie,21884,8,"Drama, Horror, Sci-Fi",James Whale
Sesame Street,33,,1969,tv series,63951,8.5,"Animation, Comedy, Family, Fantasy, Music",Lisa Simon
La grande illusion,34,,1937,movie,28950,8.2,"Drama, War",Jean Renoir
Raiders of the Lost Ark,35,22,1981,movie,82971,8.7,"Action, Adventure",Steven Spielberg
Night of the Living Dead,36,,1968,movie,63350,8,"Horror, Mystery",George A. Romero
The Wizard of Oz,37,,1925,movie,16544,5.3,"Comedy, Family, Fantasy, Adventure",Larry Semon
THX 1138,38,,1971,movie,66434,6.8,"Drama, Mystery, Sci-Fi, Thriller",George Lucas
E.T.: The Extra-Terrestrial,39,,1982,movie,83866,7.9,"Adventure, Drama, Family, Fantasy, Sci-Fi",Steven Spielberg
The Poor Little Rich Girl,40,,1917,movie,8443,6.9,"Comedy, Drama",Maurice Tourneur
The Tin Man,41,,1935,movie,27112,4.6,"Short, Adventure, Comedy",James Parrott
Taxi Driver,42,41,1976,movie,75314,8.6,"Drama, Thriller",Martin Scorsese
"Il buono, il brutto, il cattivo.",43,4,1966,movie,60196,9,"Adventure, Western",Sergio Leone
The Battle at Elderbush Gulch,44,,1913,movie,3662,6.6,"Short, Action, Western",D.W. Griffith
Singin' in the Rain,45,77,1952,movie,45152,8.4,"Comedy, Musical, Romance",Stanley Donen
On the Waterfront,46,104,1954,movie,47296,8.4,"Crime, Drama, Romance",Elia Kazan
The General,47,120,1926,movie,17925,8.4,"Comedy, Romance, War, Action",Clyde Bruckman
Ghost Busters,48,,1984,movie,87332,7.8,"Adventure, Fantasy, Mystery",Ivan Reitman
Tarzan the Ape Man,49,,1932,movie,23551,7.1,"Action, Adventure, Romance",W.S. Van Dyke
"His Majesty, the Scarecrow of Oz",50,,1914,movie,4099,6,"Family, Fantasy, Adventure, Comedy",L. Frank Baum
The Twilight Zone,51,,1959,tv series,52520,9.5,"Drama, Fantasy, Mystery, Sci-Fi, Thriller",John Brahm
